Landing Page,Product Brand,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,,,,
/product/tezenis-lemon-triangle-bra/Vwu0geSwKqou1PPX,Tezenis,629,89.51%,563,45.63%,1.27,,,,
/product/marks-and-spencer-leopard-print-a-line-skirt/WKa1cUzt_QAGgxTv,Marks and Spencer,626,25.56%,160,16.61%,1.33,,,,
/product/selfish-mother-the-wonder-women-sweatshirt/WMIiP8nnfAAFfM3I,Selfish Mother,413,33.41%,138,23.73%,1.27,,,,
/product/temperley-london-long-toledo-dress/VG82VOSwjvHJjTyV,Temperley London,400,98.50%,394,83.25%,1.07,,,,
/product/marks-and-spencer-autograph-belted-trench-coat/WHTlssnnfAAFAyDo,Marks and Spencer - Autograph,308,26.62%,82,20.78%,1.2,,,,
/product/boden-rosannah-cashmere-jumper/WJxI8Ezt_QAFJzEL,Boden,290,17.24%,50,11.72%,2.55,,,,
/product/warehouse-floating-floral-midi-dress/WMnHAkzt_QAGZTXR,Warehouse,289,23.18%,67,15.92%,1.23,,,,
/product/finery-pentonville-twist-front-jersey-dress/WMf9z8nnfAAFgWxj,Finery,288,25.69%,74,16.32%,2.48,,,,
/product/marks-and-spencer-autograph-leather-sling-back-flats/WKn5tEzt_QAFml7V,Marks and Spencer - Autograph,286,31.47%,90,26.22%,1.17,,,,
/product/l-k-bennett-delisa-pink-silk-skirt/WLDid0zt_QAGaOAA,L.K. Bennett,285,28.77%,82,20.70%,1.13,,,,
/product/zara-embroidered-floral-dress/V30R5kzt_QAGVRUy,Zara,272,88.24%,240,50.37%,1.33,,,,
/product/melissa-odabash-zuma-mesh-swimsuit/VZVQZOSwtkR9wnTR,Melissa Odabash,256,75.00%,192,42.58%,1.39,,,,
/product/karen-millen-super-frill-shirt/WI82I1L6_wAGH5RC,Karen Millen,254,73.62%,187,44.88%,1.47,,,,
/product/coast-raffie-top/WE6Pv8nnfAAFZwi_,Coast,248,29.84%,74,21.77%,1.44,,,,
/product/warehouse-woodstock-crinkle-shirt-dress/WKjDcMnnfAAG1nGX,Warehouse,238,28.99%,69,23.11%,1.14,,,,
/product/vagabond-katlin-shoes/WJHgPcnnfAAFcdJ1,Vagabond,215,37.21%,80,27.44%,1.3,,,,
/product/boden-jessica-dress/WJMXW8_0fgAFBW1e,Boden,204,18.63%,38,13.24%,2.74,,,,
/product/jigsaw-olivia-cross-strap-trainers/WKcdFkzt_QAGg94Y,Jigsaw,200,31.00%,62,25.00%,1.18,,,,
/product/uterque-gem-earrings/WMp7_cnnfAAFhC11,UterqÃ_e,194,31.44%,61,24.74%,1.31,,,,
/product/miss-kg-by-kurt-geiger-soho-ankle-boots/V_1Wk9YBgAAGNovc,Miss KG by Kurt Geiger,193,18.65%,36,15.03%,2.32,,,,
/product/boden-jennie-coat/V-5EfMnnfAAGw4Yp,Boden,191,38.74%,74,31.41%,1.17,,,,
/product/french-connection-atlantic-faux-leather-cropped-trousers/Vuvo3uSw-igiSK9K,French Connection,188,27.13%,51,18.09%,1.22,,,,
/product/karen-millen-leather-o-ring-bag/WJd550zt_QAG2FiZ,Karen Millen,187,23.53%,44,18.18%,1.55,,,,
/product/reiss-lulu-velvet-dress/WIzSkcnnfAAGtNm7,Reiss,177,19.77%,35,12.99%,2.27,,,,
/product/boden-backless-loafers/WFkbUkzt_QAFAx1L,Boden,170,18.82%,32,13.53%,1.41,,,,
/product/miss-patina-liberty-dress/WJ0ijMnnfAAGf5QK,Miss Patina,168,25.00%,42,15.48%,1.64,,,,
/product/massimo-dutti-bow-detail-jumpsuit/WNE1mcnnfAAGui9k,Massimo Dutti,166,29.52%,49,21.69%,1.23,,,,
/product/warehouse-tie-front-top/WM7qHEzt_QAGbSB4,Warehouse,165,27.88%,46,20.00%,1.14,,,,
/product/and-other-stories-pointed-suede-pump/WNJBU0zt_QAG8AHN,& Other Stories,159,29.56%,47,24.53%,1.33,,,,
/product/marks-and-spencer-autograph-leather-high-cut-shoes/WKn9P8nnfAAGQUAY,Marks and Spencer - Autograph,159,22.01%,35,15.72%,1.26,,,,
/product/mango-embroidered-velvet-loafers/WKQmTMnnfAAHPslp,Mango,158,36.71%,58,29.75%,1.15,,,,
/product/finery-cheam-stripe-pussy-bow-neck-dress/WMfOk8nnfAAG-FXO,Finery,157,24.84%,39,16.56%,1.48,,,,
/product/boden-printed-wrap-dress/WJMY91L6_wAFGKkS,Boden,149,36.91%,55,26.85%,1.19,,,,
/product/mango-leather-biker-jacket/WKrqxMnnfAAGsbZ3,Mango,149,24.16%,36,22.15%,1.19,,,,
/product/marks-and-spencer-autograph-pleated-lace-midi-skirt/WJezzcnnfAAGKx47,Marks and Spencer - Autograph,148,25.68%,38,19.59%,1.76,,,,
/product/the-fold-arlington-dress/WMlzTcnnfAAGhiht,The Fold,148,39.19%,58,29.73%,1.41,,,,
/product/me-plus-em-luxe-slouch-pant/WNEMP0zt_QAIH1YN,ME+EM,147,21.77%,32,15.65%,1.3,,,,
/product/me-and-em-twist-knot-drape-top/WD3mNFkIAQAGoZPn,ME and EM,146,37.67%,55,23.97%,1.18,,,,
/product/ted-baker-journe-v-neck-blouse/WMZ648nnfAAFWV36,Ted Baker,142,25.35%,36,18.31%,1.28,,,,
/product/the-fold-ec1-belleville-top/WMgARMnnfAAFgXBK,The Fold,141,26.95%,38,23.40%,1.18,,,,
/product/jigsaw-mini-lua-cross-body-bag/WJx23snnfAAGfSje,Jigsaw,140,27.14%,38,18.57%,1.29,,,,
/product/marks-and-spencer-autograph-leopard-print-a-line-skirt/WKa1cUzt_QAGgxTv,Marks and Spencer - Autograph,140,37.14%,52,27.14%,1.16,,,,
/product/karen-millen-lace-up-flats/WKsHX0zt_QAGEk7r,Karen Millen,139,29.50%,41,20.86%,1.25,,,,
/product/warehouse-gingham-top/WJ7WL8nnfAAGhLLH,Warehouse,137,24.82%,34,20.44%,1.21,,,,
/product/marks-and-spencer-zebra-print-a-line-midi-skirt/WME2jsnnfAAFdQbS,Marks and Spencer,136,39.71%,54,30.15%,1.18,,,,
/product/whistles-maya-cropped-biker/WAYNiMnnfAAGgGm1,Whistles,131,26.72%,35,18.32%,1.18,,,,
/product/michael-michael-kors-sedona-shoulder-bag/WMEwvEzt_QAFVEIn,MICHAEL Michael Kors,130,37.69%,49,29.23%,1.15,,,,
/product/boden-maritime-bag/WJg8gMnnfAAGDEKI,Boden,127,30.71%,39,25.20%,1.18,,,,
/product/whistles-frill-cuff-merino-jumper/WKoNPUzt_QAFmomj,Whistles,124,36.29%,45,29.03%,1.16,,,,
/product/and-other-stories-suede-lace-up-sneakers/WLLUPkzt_QAG1gIe,& Other Stories,120,32.50%,39,23.33%,1.1,,,,
/product/mango-silk-dress/WMHhvcnnfAAFfHI8,Mango,119,40.34%,48,27.73%,1.57,,,,
/product/jigsaw-sculpted-jumper/WIHlicnnfAAFSDSY,Jigsaw,117,22.22%,26,12.82%,1.07,,,,
/product/and-other-stories-silk-shirt/WLxGGkzt_QAGOkdI,& Other Stories,113,29.20%,33,26.55%,1.23,,,,
/product/whistles-aria-embroidered-bird-dress/WL7EnsnnfAAGC1yc,Whistles,112,28.57%,32,21.43%,1.75,,,,
/product/boden-cavendish-girlfriend-jean/WJg-m0zt_QAGvHDU,Boden,111,21.62%,24,17.12%,1.14,,,,
/product/boden-reversible-wrap-coat/WE1pztYBgAAF9Tcp,Boden,110,46.36%,51,30.91%,1.17,,,,
/product/kg-kurt-geiger-metallic-platform-brogues/V_F8uNYBgAAHaDPS,KG Kurt Geiger,108,26.85%,29,19.44%,1.16,,,,
/product/jigsaw-maisy-v-front-shoes/V5nGA0zt_QAGVA5q,Jigsaw,105,29.52%,31,18.10%,1.16,,,,
/product/karen-millen-faux-leather-trousers/WI4p01L6_wAFmrXe,Karen Millen,105,31.43%,33,22.86%,1.17,,,,
/product/miss-kg-by-kurt-geiger-sade-ankle-boots/V_1P49YBgAAGNoMrv,Miss KG by Kurt Geiger,105,33.33%,35,27.62%,1.23,,,,
/product/mango-ruffled-sweater/WKnD0snnfAAGQNYr,Mango,104,26.92%,28,21.15%,1.17,,,,
/product/and-other-stories-denim-trenchcoat/WJiOxcnnfAAGDJC0,& Other Stories,103,36.89%,38,30.10%,1.2,,,,
/product/french-connection-suede-and-leather-trainers/WL_7JsnnfAAG1MzF,French Connection,101,25.74%,26,21.78%,1.17,,,,
/product/me-and-em-twist-knot-drape-top/WD3mNFkIAQAGoZPn,ME+EM,101,32.67%,33,20.79%,1.1,,,,
/product/boden-backless-loafers/WJgvl0zt_QAGvBFX,Boden,99,37.37%,37,29.29%,1.17,,,,
/product/marks-and-spencer-lace-up-ballet-pump/WCrWk1L6_wAF2Mf-,Marks and Spencer,98,25.51%,25,20.41%,1.24,,,,
/product/whistles-mohair-split-side-sweater/WK7ObsnnfAAFRIgb,Whistles,98,27.55%,27,26.53%,1.18,,,,
/product/cos-slingback-bow-pumps/WMadbsnnfAAFWYve,COS,96,45.83%,44,37.50%,1.16,,,,
/product/marks-and-spencer-autograph-floral-print-bomber-jacket/WKckBUzt_QAGg-qR,Marks and Spencer - Autograph,96,33.33%,32,25.00%,1.23,,,,
/product/kate-spade-leopard-clear-iphone-6-plus-case/WM_Bo0zt_QAGzR3Z,Kate Spade,95,35.79%,34,27.37%,1.09,,,,
/product/hush-mini-lightning-bolt-tee/WJSpT0zt_QAFi3Fw,Hush,94,30.85%,29,23.40%,1.19,,,,
/product/topshop-flared-sleeve-sequin-top/WE5zjNYBgAAF-Zb-,Topshop,94,92.55%,87,73.40%,1.41,,,,
/product/warehouse-floating-floral-skirt/WLmstcnnfAAFroVQ,Warehouse,94,25.53%,24,20.21%,1.36,,,,
/product/french-connection-straight-leg-jeans/WItlJMnnfAAGVfbS,French Connection,93,30.11%,28,25.81%,1.12,,,,
/product/hudson-shoes-amelie-mule/WMFg98nnfAAFdzHf,Hudson Shoes,93,30.11%,28,22.58%,1.17,,,,
/product/hades-the-smiths-jumper/Vz7R9uSwADjfBJ3E,Hades,92,78.26%,72,42.39%,1.29,,,,
/product/jigsaw-georgia-silk-dress/V2Gbn9YBgAAGGcL9,Jigsaw,92,32.61%,30,25.00%,1.24,,,,
